Answer,Question
ہم سے سلیمان بن حرب نے بیان کیا کہ کہا ہم سے حماد بن زید نے ایوب کے واسطہ سے، انہوں نے محمد سے، انہوں نے ابوہریرہ رضی اللہ عنہ سے، آپ نے فرمایا کہ ایک شخص نبی کریم صلی اللہ علیہ وسلم کے سامنے کھڑا ہوا اور اس نے صرف ایک کپڑا پہن کر نماز پڑھنے کے بارے میں سوال کیا۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ کیا تم سب ہی لوگوں کے پاس دو کپڑے ہو سکتے ہیں؟ پھر (یہی مسئلہ) عمر رضی اللہ عنہ سے ایک شخص نے پوچھا تو انہوں نے کہا جب اللہ تعالیٰ نے تمہیں فراغت دی ہے تو تم بھی فراغت کے ساتھ رہو۔ آدمی کو چاہیے کہ نماز میں اپنے کپڑے اکٹھا کر لے، کوئی آدمی تہبند اور چادر میں نماز پڑھے، کوئی تہبند اور قمیص، کوئی تہبند اور قباء میں، کوئی پاجامہ اور چادر میں، کوئی پاجامہ اور قمیص میں، کوئی پاجامہ اور قباء میں، کوئی جانگیا اور قباء میں، کوئی جانگیا اور قمیص میں نماز پڑھے۔ ابوہریرہ رضی اللہ عنہ نے کہا کہ مجھے یاد آتا ہے کہ آپ نے یہ بھی کہا کہ کوئی جانگیا اور چادر میں نماز پڑھے۔,آپ نے نماز میں اپنے کپڑے اکٹھا کر لےکے بارے میں کیا کہا
ہم سے عاصم بن علی نے بیان کیا، انہوں نے کہا ہم سے ابن ابی ذئب نے زہری کے حوالہ سے بیان کیا، انہوں نے سالم سے، انہوں نے ابن عمر رضی اللہ عنہما سے، انہوں نے فرمایا کہ رسول اللہ صلی اللہ علیہ وسلم سے ایک آدمی نے پوچھا کہ احرام باندھنے والے کو کیا پہننا چاہیے۔ تو آپ صلی اللہ علیہ وسلم نے فرمایا کہ نہ قمیص پہنے نہ پاجامہ، نہ باران کوٹ اور نہ ایسا کپڑا جس میں زعفران لگا ہوا ہو اور نہ ورس لگا ہوا کپڑا، پھر اگر کسی شخص کو جوتیاں نہ ملیں (جن میں پاؤں کھلا رہتا ہو) وہ موزے کاٹ کر پہن لے تاکہ وہ ٹخنوں سے نیچے ہو جائیں اور ابن ابی ذئب نے اس حدیث کو نافع سے بھی روایت کیا، انہوں نے ایسا ہی نبی کریم صلی اللہ علیہ وسلم سے بھی روایت کیا ہے۔,احرام باندھنے والے کو کیا پہننا چاہیے
ہم سے قتیبہ بن سعید نے بیان کیا، کہا ہم سے لیث نے ابن شہاب سے بیان کیا، انہوں نے عبیداللہ بن عبداللہ بن عتبہ سے، انہوں نے ابو سعید خدری سے کہ نبی کریم صلی اللہ علیہ وسلم نے صماء کی طرح کپڑا بدن پر لپیٹ لینے سے منع فرمایا اور اس سے بھی منع فرمایا کہ آدمی ایک کپڑے میں احتباء کرے اور اس کی شرمگاہ پر علیحدہ کوئی دوسرا کپڑا نہ ہو۔, نبی کریم صلی اللہ علیہ وسلم نے صماء کی طرح کپڑا بدن پر لپیٹ لینے کے بارے میں کیا فرمایا 
ہم سے قبیصہ بن عقبہ نے بیان کیا، انہوں نے کہا کہ ہم سے سفیان نے بیان کیا، جو ابوالزناد سے نقل کرتے ہیں، وہ اعرج سے، وہ ابوہریرہ رضی اللہ عنہ سے کہ نبی کریم صلی اللہ علیہ وسلم نے دو طرح کی بیع و فروخت سے منع فرمایا۔ ایک تو چھونے کی بیع سے، دوسرے پھینکنے کی بیع سے اور اشتمال صماء سے (جس کا بیان اوپر گزرا) اور ایک کپڑے میں گوٹ مار کر بیٹھنے سے۔, نبی کریم صلی اللہ علیہ وسلم نے کتنی طرح کی بیع و فروخت سے منع فرمایا
ہم سے اسحاق نے بیان کیا، انہوں نے کہا ہم سے یعقوب بن ابراہیم نے بیان کیا، انہوں نے کہا مجھے میرے بھائی ابن شہاب نے اپنے چچا کے واسطہ سے، انہوں نے کہا مجھے حمید بن عبدالرحمٰن بن عوف نے خبر دی کہ ابوہریرہ رضی اللہ عنہ نے فرمایا کہ اس حج کے موقع پر مجھے ابوبکر رضی اللہ عنہ نے یوم نحر (ذی الحجہ کی دسویں تاریخ) میں اعلان کرنے والوں کے ساتھ بھیجا۔ تاکہ ہم منیٰ میں اس بات کا اعلان کر دیں کہ اس سال کے بعد کوئی مشرک حج نہیں کر سکتا اور کوئی شخص ننگے ہو کر بیت اللہ کا طواف نہیں کر سکتا۔ حمید بن عبدالرحمٰن نے کہا اس کے بعد رسول اللہ صلی اللہ علیہ وسلم نے علی رضی اللہ عنہ کو ابوبکر رضی اللہ عنہ کے پیچھے بھیجا اور انہیں حکم دیا کہ وہ سورۃ برات پڑھ کر سنا دیں اور اس کے مضامین کا عام اعلان کر دیں۔ ابوہریرہ رضی اللہ عنہ فرماتے ہیں کہ علی رضی اللہ عنہ نے ہمارے ساتھ نحر کے دن منیٰ میں دسویں تاریخ کو یہ سنایا کہ آج کے بعد کوئی مشرک نہ حج کر سکے گا اور نہ بیت اللہ کا طواف کوئی شخص ننگے ہو کر کر سکے گا۔,منیٰ میں کس بات کا اعلان کیا گیا
ہم سے عبدالعزیز بن عبداللہ اویسی نے بیان کیا، کہا مجھ سے عبدالرحمٰن بن ابی الموال نے محمد بن منکدر سے، کہا میں جابر بن عبداللہ انصاری کی خدمت میں حاضر ہوا۔ وہ ایک کپڑا اپنے بدن پر لپیٹے ہوئے نماز پڑھ رہے تھے، حالانکہ ان کی چادر الگ رکھی ہوئی تھی۔ جب آپ نماز سے فارغ ہوئے تو ہم نے کہا اے ابوعبداللہ! آپ کی چادر رکھی ہوئی ہے اور آپ (اسے اوڑھے بغیر) نماز پڑھ رہے ہیں۔ انہوں نے فرمایا، میں نے چاہا کہ تم جیسے جاہل لوگ مجھے اس طرح نماز پڑھتے دیکھ لیں، میں نے بھی نبی کریم صلی اللہ علیہ وسلم کو اسی طرح ایک کپڑے میں نماز پڑھتے دیکھا تھا۔, نبی کریم صلی اللہ علیہ وسلم کو اکتنےکپڑوں میں نماز پڑھتے دیکھاگیا تھا
اور ابوموسیٰ اشعری رضی اللہ عنہ نے کہا کہ عثمان رضی اللہ عنہ آئے تو نبی کریم صلی اللہ علیہ وسلم نے اپنے گھٹنے ڈھانک لیے اور زید بن ثابت نے کہا کہ اللہ تعالیٰ نے اپنے رسول صلی اللہ علیہ وسلم پر ایک مرتبہ وحی نازل فرمائی۔ اس وقت آپ صلی اللہ علیہ وسلم کی ران مبارک میری ران پر تھی، آپ کی ران اتنی بھاری ہو گئی تھی کہ مجھے اپنی ران کی ہڈی ٹوٹ جانے کا خطرہ پیدا ہو گیا۔,آپ کی ران بھاری کس وقت ہو گئی تھی
ہم سے ابوالیمان نے بیان کیا، انہوں نے کہا کہ ہم کو شعیب نے زہری سے خبر دی، کہا کہ مجھے عروہ بن زبیر نے خبر دی کہ عائشہ رضی اللہ عنہا نے فرمایا کہ نبی کریم صلی اللہ علیہ وسلم فجر کی نماز پڑھتے اور آپ صلی اللہ علیہ وسلم کے ساتھ نماز میں کئی مسلمان عورتیں اپنی چادریں اوڑھے ہوئے شریک نماز ہوتیں، پھر اپنے گھروں کو واپس چلی جاتی تھیں، اس وقت انہیں کوئی پہچان نہیں سکتا تھا۔, آپ صلی اللہ علیہ وسلم کے ساتھ نماز میں مسلمان عورتیں کیسے شریک نماز ہوتیں
ہم سے احمد بن یونس نے بیان کیا، انہوں نے کہا کہ ہمیں ابراہیم بن سعد نے خبر دی، انہوں نے کہا کہ ہم سے ابن شہاب نے بیان کیا، انہوں نے عروہ سے، انہوں نے ام المؤمنین عائشہ رضی اللہ عنہا سے کہ نبی کریم صلی اللہ علیہ وسلم نے ایک چادر میں نماز پڑھی۔ جس میں نقش و نگار تھے۔ آپ صلی اللہ علیہ وسلم نے انہیں ایک مرتبہ دیکھا۔ پھر جب نماز سے فارغ ہوئے تو فرمایا کہ میری یہ چادر ابوجہم (عامر بن حذیفہ) کے پاس لے جاؤ اور ان کی انبجانیہ والی چادر لے آؤ، کیونکہ اس چادر نے ابھی نماز سے مجھ کو غافل کر دیا۔ اور ہشام بن عروہ نے اپنے والد سے روایت کی، انہوں نے عائشہ رضی اللہ عنہا سے کہ نبی کریم صلی اللہ علیہ وسلم نے فرمایا میں نماز میں اس کے نقش و نگار دیکھ رہا تھا، پس میں ڈرا کہ کہیں یہ مجھے غافل نہ کر دے۔, نبی کریم صلی اللہ علیہ وسلم نے کتنی چادر وں میں نماز پڑھی
ہم سے ابومعمر عبداللہ بن عمرو نے بیان کیا کہ کہا ہم سے عبدالوارث بن سعید نے بیان کیا، انہوں نے کہا کہ ہم سے عبدالعزیز بن صہیب نے انس رضی اللہ عنہ سے نقل کیا کہ عائشہ رضی اللہ عنہا کے پاس ایک رنگین باریک پردہ تھا جسے انہوں نے اپنے گھر کے ایک طرف پردہ کے لیے لٹکا دیا تھا۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ میرے سامنے سے اپنا یہ پردہ ہٹا دو۔ کیونکہ اس پر نقش شدہ تصاویر برابر میری نماز میں خلل انداز ہوتی رہی ہیں۔, آپ صلی اللہ علیہ وسلم نے نماذمیں سامنے سے  پردہ ہٹا دینےکا کیوں فرمایا ۔
ہم سے عبداللہ بن یوسف نے بیان کیا، کہا کہ ہم سے لیث بن سعد نے یزید بن حبیب سے بیان کیا، انہوں نے ابوالخیر مرثد سے، انہوں نے عقبہ بن عامر سے، انہوں نے کہا کہ نبی کریم صلی اللہ علیہ وسلم کو ایک ریشم کی قباء تحفہ میں دی گئی۔ اسے آپ صلی اللہ علیہ وسلم نے پہنا اور نماز پڑھی لیکن آپ صلی اللہ علیہ وسلم جب نماز سے فارغ ہوئے تو بڑی تیزی کے ساتھ اسے اتار دیا۔ گویا آپ صلی اللہ علیہ وسلم اسے پہن کر ناگواری محسوس کر رہے تھے۔ پھر آپ صلی اللہ علیہ وسلم نے فرمایا یہ پرہیزگاروں کے لائق نہیں ہے۔,آپ صلی اللہ علیہ وسلمریشم کی قباءپہن کر ناگواری محسوس کیوں کر رہےتھے
ہم سے محمد بن عرعرہ نے بیان کیا، کہا کہ مجھ سے عمر ابن ابی زائدہ نے بیان کیا عون بن ابی حجیفہ سے، انہوں نے اپنے والد ابوحجیفہ وہب بن عبداللہ سے کہ میں نے رسول اللہ صلی اللہ علیہ وسلم کو ایک سرخ چمڑے کے خیمہ میں دیکھا اور میں نے یہ بھی دیکھا کہ بلال رضی اللہ عنہ نبی کریم صلی اللہ علیہ وسلم کو وضو کرا رہے ہیں اور ہر شخص آپ کے وضو کا پانی حاصل کرنے کے لیے ایک دوسرے سے آگے بڑھنے کی کوشش کر رہا ہے۔ اگر کسی کو تھوڑا سا بھی پانی مل جاتا تو وہ اسے اپنے اوپر مل لیتا اور اگر کوئی پانی نہ پا سکتا تو اپنے ساتھی کے ہاتھ کی تری ہی حاصل کرنے کی کوشش کرتا۔ پھر میں نے بلال رضی اللہ عنہ کو دیکھا کہ انہوں نے اپنی ایک برچھی اٹھائی جس کے نیچے لوہے کا پھل لگا ہوا تھا اور اسے انہوں نے گاڑ دیا۔ نبی کریم صلی اللہ علیہ وسلم (ڈیرے میں سے) ایک سرخ پوشاک پہنے ہوئے تہبند اٹھائے ہوئے باہر تشریف لائے اور برچھی کی طرف منہ کر کے لوگوں کو دو رکعت نماز پڑھائی، میں نے دیکھا کہ آدمی اور جانور برچھی کے پرے سے گزر رہے تھے۔,بلال رضی اللہ عنہ نبی کریم صلی اللہ علیہ وسلم کو کیا کروا رہے تھے
ہم سے محمد بن عبدالرحیم نے بیان کیا کہ کہا ہم سے یزید بن ہارون نے، کہا ہم کو حمید طویل نے خبر دی انس بن مالک رضی اللہ عنہ سے کہ نبی کریم صلی اللہ علیہ وسلم (5 ھ میں) اپنے گھوڑے سے گر گئے تھے۔ جس سے آپ کی پنڈلی یا کندھا زخمی ہو گئے اور آپ نے ایک مہینے تک اپنی بیویوں کے پاس نہ جانے کی قسم کھائی۔ آپ اپنے بالاخانہ پر بیٹھ گئے۔ جس کے زینے کھجور کے تنوں سے بنائے گئے تھے۔ صحابہ رضی اللہ عنہم مزاج پرسی کو آئے۔ آپ نے انہیں بیٹھ کر نماز پڑھائی اور وہ کھڑے تھے۔ جب آپ نے سلام پھیرا تو فرمایا کہ امام اس لیے ہے کہ اس کی پیروی کی جائے۔ پس جب وہ تکبیر کہے تو تم بھی تکبیر کہو اور جب وہ رکوع میں جائے تو تم بھی رکوع میں جاؤ اور جب وہ سجدہ کرے تو تم بھی سجدہ کرو اور اگر کھڑے ہو کر تمہیں نماز پڑھائے تو تم بھی کھڑے ہو کر نماز پڑھو اور آپ انتیس دن بعد نیچے تشریف لائے، تو لوگوں نے کہا یا رسول اللہ! آپ نے تو ایک مہینہ کے لیے قسم کھائی تھی۔ آپ صلی اللہ علیہ وسلم نے فرمایا کہ یہ مہینہ انتیس دن کا ہے۔, آپ نے ایک مہینے تک اپنی بیویوں کے پاس نہ جانے کی قسم کیوں کھائی۔
ہم سے مسدد نے بیان کیا خالد سے، کہا کہ ہم سے سلیمان شیبانی نے بیان کیا عبداللہ بن شداد سے، انہوں نے میمونہ رضی اللہ عنہا سے، آپ نے فرمایا کہ نبی کریم صلی اللہ علیہ وسلم نماز پڑھتے اور حائضہ ہونے کے باوجود میں ان کے سامنے ہوتی، اکثر جب آپ صلی اللہ علیہ وسلم سجدہ کرتے تو آپ صلی اللہ علیہ وسلم کا کپڑا مجھے چھو جاتا۔ انہوں نے کہا کہ آپ صلی اللہ علیہ وسلم (کھجور کے پتوں سے بنے ہوئے ایک چھوٹے سے) مصلے پر نماز پڑھتے تھے۔,آپ صلی اللہ علیہ وسلم کس مصلے پر نماز پڑھتے تھے۔ 
ہم سے عبداللہ بن یوسف نے بیان کیا کہا کہ ہمیں امام مالک نے خبر دی اسحاق بن عبداللہ بن ابی طلحہ سے، انہوں نے انس بن مالک رضی اللہ عنہ سے کہ ان کی نانی ملیکہ نے رسول اللہ صلی اللہ علیہ وسلم کو کھانا تیار کر کے کھانے کے لیے بلایا۔ آپ صلی اللہ علیہ وسلم نے کھانے کے بعد فرمایا کہ آؤ تمہیں نماز پڑھا دوں۔ انس رضی اللہ عنہ نے کہا کہ میں نے اپنے گھر سے ایک بوریا اٹھایا جو کثرت استعمال سے کالا ہو گیا تھا۔ میں نے اس پر پانی چھڑکا۔ پھر رسول اللہ صلی اللہ علیہ وسلم نماز کے لیے (اسی بورئیے پر) کھڑے ہوئے اور میں اور ایک یتیم (کہ رسول اللہ صلی اللہ علیہ وسلم کے غلام ابوضمیرہ کے لڑکے ضمیرہ) آپ کے پیچھے صف باندھ کر کھڑے ہو گئے اور بوڑھی عورت (انس کی نانی ملیکہ) ہمارے پیچھے کھڑی ہوئیں۔ پھر رسول اللہ صلی اللہ علیہ وسلم نے ہمیں دو رکعت نماز پڑھائی اور واپس گھر تشریف لے گئے۔,رسول اللہ صلی اللہ علیہ وسلم نے کتنے رکعت نماز پڑھائی
ہم سے ابوالولید ہشام بن عبدالملک نے بیان کیا، کہ کہا ہم سے شعبہ نے، کہا ہم سے سلیمان شیبانی نے عبداللہ بن شداد کے واسطے سے، انہوں نے ام المؤمنین میمونہ رضی اللہ عنہا سے، انہوں نے کہا کہ نبی کریم صلی اللہ علیہ وسلم سجدہ گاہ (یعنی چھوٹے مصلے) پر نماز پڑھا کرتے تھے۔,آپ صلی اللہ علیہ وسلم کس مصلے پر نماز پڑھتے تھے۔ 
ہم سے یحییٰ بن بکیر نے بیان کیا، کہا ہم سے لیث بن سعد نے عقیل سے، انہوں نے ابن شہاب سے، ان کو عروہ نے خبر دی کہ عائشہ رضی اللہ عنہا نے انہیں بتایا کہ رسول اللہ صلی اللہ علیہ وسلم اپنے گھر کے بچھونے پر نماز پڑھتے اور عائشہ رضی اللہ عنہا آپ صلی اللہ علیہ وسلم کے اور قبلہ کے درمیان اس طرح لیٹی ہوتیں جیسے (نماز کے لیے) جنازہ رکھا جاتا ہے۔,رسول اللہ صلی اللہ علیہ وسلم اپنے گھر کے کس مقام پر نماز پڑھتے
ہم سے عبداللہ بن یوسف نے بیان کیا کہا ہم سے لیث بن سعد نے حدیث بیان کی یزید سے، انہوں نے عراک سے، انہوں نے عروہ بن زبیر سے کہ نبی کریم صلی اللہ علیہ وسلم اس بچھونے پر نماز پڑھتے جس پر آپ صلی اللہ علیہ وسلم اور عائشہ رضی اللہ عنہا سوتے اور عائشہ رضی اللہ عنہا آپ صلی اللہ علیہ وسلم کے اور قبلہ کے درمیان اس بستر پر لیٹی رہتیں۔,نبی کریم صلی اللہ علیہ وسلم کس بچھونے پر نماز پڑھتے
ہم سے آدم بن ابی ایاس نے بیان کیا، انہوں نے کہا کہ ہم سے شعبہ نے بیان کیا، انہوں نے کہا ہم سے ابومسلمہ سعید بن یزید ازدی نے بیان کیا، کہا میں نے انس بن مالک رضی اللہ عنہ سے پوچھا کہ کیا نبی کریم صلی اللہ علیہ وسلم اپنی جوتیاں پہن کر نماز پڑھتے تھے؟ تو انہوں نے فرمایا کہ ہاں!۔,کیا نبی کریم صلی اللہ علیہ وسلم اپنی جوتیاں پہن کر نماز پڑھتے تھے؟
ہم سے آدم بن ابی ایاس نے بیان کیا، کہا ہم سے شعبہ نے اعمش کے واسطہ سے، اس نے کہا کہ میں نے ابراہیم نخعی سے سنا۔ وہ ہمام بن حارث سے روایت کرتے تھے، انہوں نے کہا کہ میں نے جریر بن عبداللہ رضی اللہ عنہ کو دیکھا، انہوں نے پیشاب کیا پھر وضو کیا اور اپنے موزوں پر مسح کیا۔ پھر کھڑے ہوئے اور (موزوں سمیت) نماز پڑھی۔ آپ سے جب اس کے متعلق پوچھا گیا، تو فرمایا کہ میں نے نبی کریم صلی اللہ علیہ وسلم کو ایسا ہی کرتے دیکھا ہے۔ ابراہیم نخعی نے کہا کہ یہ حدیث لوگوں کی نظر میں بہت پسندیدہ تھی کیونکہ جریر رضی اللہ عنہ آخر میں اسلام لائے تھے۔,نبی کریم صلی اللہ علیہ وسلم کو کیسا کرتے دیکھا ۔
ہم سے اسحاق بن نصر نے بیان کیا کہ کہا ہم سے ابواسامہ نے بیان کیا اعمش کے واسطہ سے، انہوں نے مسلم بن صبیح سے، انہوں نے مسروق بن اجدع سے، انہوں نے مغیرہ بن شعبہ سے، انہوں نے کہا کہ میں نے نبی کریم صلی اللہ علیہ وسلم کو وضو کرایا۔ آپ صلی اللہ علیہ وسلم نے اپنے موزوں پر مسح کیا اور نماز پڑھی۔,آپ صلی اللہ علیہ وسلم نے اپنے موزوں پر کیا کر کےنماذ پرھی
ہمیں صلت بن محمد نے بیان کیا، کہا ہم سے مہدی بن میمون نے واصل کے واسطہ سے، وہ ابووائل شقیق بن سلمہ سے، وہ حذیفہ رضی اللہ عنہ سے کہ انھوں نے ایک شخص کو دیکھا جو رکوع اور سجدہ پوری طرح نہیں کرتا تھا۔ جب اس نے اپنی نماز پوری کر لی تو حذیفہ رضی اللہ عنہ نے فرمایا کہ تم نے نماز ہی نہیں پڑھی۔ ابووائل راوی نے کہا، میں خیال کرتا ہوں کہ حذیفہ رضی اللہ عنہ نے یہ بھی فرمایا کہ اگر تو ایسی ہی نماز پر مر جاتا تو نبی کریم صلی اللہ علیہ وسلم کی سنت پر نہیں مرتا۔,حذیفہ رضی اللہ عنہ نے کسکوکہا کہ تم نے نماز ہی نہیں پڑھی۔
ہم سے یحییٰ بن بکیر نے بیان کیا، کہا مجھ سے حدیث بیان کی بکر بن مضر نے جعفر سے، وہ ابن ہرمز سے، انہوں نے عبداللہ بن مالک بن بحینہ سے کہ نبی کریم صلی اللہ علیہ وسلم جب نماز پڑھتے تو اپنے بازوؤں کے درمیان اس قدر کشادگی کر دیتے کہ دونوں بغلوں کی سفیدی ظاہر ہونے لگتی تھی اور لیث نے یوں کہا کہ مجھ سے جعفر بن ربیعہ نے اسی طرح حدیث بیان کی۔,نبی کریم صلی اللہ علیہ وسلم جب نماز پڑھتے تو اپنے بازوؤں کے درمیان کس قد ر کشادگی کر تے تھے 
اور ابوحمید رضی اللہ عنہ صحابی نے نبی کریم صلی اللہ علیہ وسلم سے روایت کی ہے کہ نمازی نماز میں اپنے پاؤں کی انگلیاں بھی قبلے کی طرف رکھے۔,نمازی نماز میں اپنے پاؤں کی انگلیاں کس طرف رکھے۔
ہم سے عمرو بن عباس نے بیان کیا، انہوں نے کہا ہم سے ابن مہدی نے بیان کیا، انہوں نے کہا ہم سے منصور بن سعد نے میمون بن سیاہ کے واسطہ سے بیان کیا، انہوں نے انس بن مالک رضی اللہ عنہ سے، انہوں نے کہا کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا، جس نے ہماری طرح نماز پڑھی اور ہماری طرح قبلہ کی طرف منہ کیا اور ہمارے ذبیحہ کو کھایا تو وہ مسلمان ہے جس کے لیے اللہ اور اس کے رسول کی پناہ ہے۔ پس تم اللہ کے ساتھ اس کی دی ہوئی پناہ میں خیانت نہ کرو۔,رسول اللہ صلی اللہ علیہ وسلم نے کسکو  مسلمان کہا
ہم سے نعیم بن حماد نے بیان کیا، کہا ہم سے عبداللہ ابن مبارک نے حمید طویل کے واسطہ سے، انہوں نے روایت کیا انس بن مالک رضی اللہ عنہ سے کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا مجھے حکم دیا گیا ہے کہ میں لوگوں کے ساتھ جنگ کروں یہاں تک کہ وہ «لا إله إلا الله» کہیں۔ پس جب وہ اس کا اقرار کر لیں اور ہماری طرح نماز پڑھنے لگیں اور ہمارے قبلہ کی طرف نماز میں منہ کریں اور ہمارے ذبیحہ کو کھانے لگیں تو ان کا خون اور ان کے اموال ہم پر حرام ہو گئے۔ مگر کسی حق کے بدلے اور (باطن میں) ان کا حساب اللہ پر رہے گا۔,رسول اللہ صلی اللہ علیہ وسلم نے فرمایا مجھے حکم دیا گیا ہے کہ میں لوگوں کے ساتھ جنگ کروں یہاں تک کہ وہ کیا نہ کہیں
ابن ابی مریم نے کہا، ہمیں یحییٰ بن ایوب نے خبر دی، انہوں نے کہا ہم سے حمید نے حدیث بیان کیا، انہوں نے کہا ہم سے انس بن مالک رضی اللہ عنہ نے نبی کریم صلی اللہ علیہ وسلم سے نقل کر کے حدیث بیان کی۔ علی بن عبداللہ بن مدینی نے فرمایا کہ ہم سے خالد بن حارث نے بیان کیا، انہوں نے کہا ہم سے حمید طویل نے بیان کیا، انہوں نے کہا کہ میمون بن سیاہ نے انس بن مالک رضی اللہ عنہ سے پوچھا کہ اے ابوحمزہ! آدمی کی جان اور مال پر زیادتی کو کیا چیزیں حرام کرتی ہیں؟ تو انہوں نے فرمایا کہ جس نے گواہی دی کہ اللہ کے سوا کوئی معبود نہیں اور ہمارے قبلہ کی طرف منہ کیا اور ہماری نماز کی طرح نماز پڑھی اور ہمارے ذبیحہ کو کھایا تو وہ مسلمان ہے۔ پھر اس کے وہی حقوق ہیں جو عام مسلمانوں کے ہیں اور اس کی وہی ذمہ داریاں ہیں جو عام مسلمانوں پر ہیں۔,آدمی کی جان اور مال پر زیادتی کو کیا چیزیں حرام کرتی ہیں؟
اور (مدینہ اور شام والوں کا) قبلہ مشرق و مغرب کی طرف نہیں ہے۔ کیونکہ نبی کریم صلی اللہ علیہ وسلم نے فرمایا (خاص اہل مدینہ سے متعلق اور اہل شام بھی اسی میں داخل ہیں) کہ پاخانہ پیشاب کے وقت قبلہ کی طرف رخ نہ کرو، البتہ مشرق کی طرف اپنا منہ کر لو، یا مغرب کی طرف۔,پاخانہ پیشاب کے وقت کس طرف رخ نہ کرو؟
ہم سے علی بن عبداللہ مدینی نے بیان کیا، کہا ہم سے سفیان نے، کہا ہم سے زہری نے عطاء بن یزید لیثی کے واسطہ سے، انہوں نے ابوایوب انصاری رضی اللہ عنہ سے کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا جب تم قضائے حاجت کے لیے جاؤ تو اس وقت نہ قبلہ کی طرف منہ کرو اور نہ پیٹھ کرو۔ بلکہ مشرق یا مغرب کی طرف اس وقت اپنا منہ کر لیا کرو۔ ابوایوب نے فرمایا کہ ہم جب شام میں آئے تو یہاں کے بیت الخلاء قبلہ رخ بنے ہوئے تھے (جب ہم قضائے حاجت کے لیے جاتے) تو ہم مڑ جاتے اور اللہ عزوجل سے استغفار کرتے تھے اور زہری نے عطاء سے اس حدیث کو اسی طرح روایت کیا۔ اس میں یوں ہے کہ عطاء نے کہا میں نے ابوایوب سے سنا، انہوں نے اسی طرح نبی کریم صلی اللہ علیہ وسلم سے سنا۔,پاخانہ پیشاب کے وقت کس طرف رخ نہ کرو؟
ہم سے حمیدی نے بیان کیا، انہوں نے کہا ہم سے سفیان بن عیینہ نے بیان کیا، کہا ہم سے عمرو بن دینار نے، کہا ہم نے عبداللہ بن عمر رضی اللہ عنہما سے ایک ایسے شخص کے بارے میں پوچھا جس نے بیت اللہ کا طواف عمرہ کے لیے کیا لیکن صفا اور مروہ کی سعی نہیں کی، کیا ایسا شخص (بیت اللہ کے طواف کے بعد) اپنی بیوی سے صحبت کر سکتا ہے؟ آپ نے جواب دیا کہ نبی کریم صلی اللہ علیہ وسلم تشریف لائے آپ نے سات مرتبہ بیت اللہ کا طواف کیا اور مقام ابراہیم کے پاس دو رکعت نماز پڑھی، پھر صفا اور مردہ کی سعی کی اور تمہارے لیے نبی کریم صلی اللہ علیہ وسلم کی زندگی بہترین نمونہ ہے,جس نے بیت اللہ کا طواف عمرہ کے لیے کیا لیکن صفا اور مروہ کی سعی نہیں کی، کیا ایسا شخص(بیت اللہ کے طواف کے بعد) اپنی بیوی سے صحبت کر سکتا ہے؟
عمرو بن دینار نے کہا، ہم نے جابر بن عبداللہ رضی اللہ عنہ سے بھی یہ مسئلہ پوچھا تو آپ نے بھی یہی فرمایا کہ وہ بیوی کے قریب بھی اس وقت تک نہ جائے جب تک صفا اور مروہ کی سعی نہ کر لے۔,جس نے بیت اللہ کا طواف عمرہ کے لیے کیا لیکن صفا اور مروہ کی سعی نہیں کی،  وہ بیوی کے قریب کب  تک نہ جائے
ہم سے مسدد بن مسرہد نے بیان کیا، کہا ہم سے یحییٰ بن سعید قطان نے بیان کیا سیف ابن ابی سلیمان سے، انہوں نے کہا میں نے مجاہد سے سنا، انہوں نے کہا کہ ابن عمر رضی اللہ عنہما کی خدمت میں ایک آدمی آیا اور کہنے لگا، اے لو یہ رسول اللہ صلی اللہ علیہ وسلم آن پہنچے اور آپ کعبہ کے اندر داخل ہو گئے۔ ابن عمر رضی اللہ عنہما نے کہا کہ میں جب آیا تو نبی کریم صلی اللہ علیہ وسلم کعبہ سے نکل چکے تھے، میں نے دیکھا کہ بلال دونوں دروازوں کے سامنے کھڑے ہیں۔ میں نے بلال سے پوچھا کہ کیا نبی کریم صلی اللہ علیہ وسلم نے کعبہ کے اندر نماز پڑھی ہے؟ انہوں نے کہا کہ ہاں! دو رکعت ان دو ستونوں کے درمیان پڑھی تھیں، جو کعبہ میں داخل ہوتے وقت بائیں طرف واقع ہیں۔ پھر جب باہر تشریف لائے تو کعبہ کے سامنے دو رکعت نماز ادا فرمائی۔, کیا نبی کریم صلی اللہ علیہ وسلم نے کعبہ کے اندر نماز پڑھی ہے؟
